schoolid,schoolname,DbtReportYr,DbtGradYear,AvgDebtGrad,BorrowRateGrad
00180900,Indiana University - Bloomington,2024,2023,85630,64.7
00181300,Indiana University - Indianapolis,2024,2023,98859,71.3
00184000,University of Notre Dame,2024,2023,121187,66.7
00186000,Drake University,2024,2023,94273,72.1
00189200,University of Iowa,2024,2023,97956,64.9
00194800,University of Kansas,2024,2023,73793,66.7
00194900,Washburn University,2024,2023,82980,86.7
00198903,University of Kentucky,2024,2023,91676,82.3
00199900,University of Louisville,2024,2023,93016,66.4
00201000,Louisiana State University,2024,2023,92296,79.5
00201600,Loyola University-New Orleans,2024,2023,,
00202500,Southern University,2024,2023,,
00202900,Tulane University,2024,2023,,
00205400,University of Maine,2024,2023,75385,75.3
00210200,University of Baltimore,2024,2023,,
00210400,University of Maryland,2024,2023,123730,55.8
00212801,Boston College,2024,2023,,
00213007,Boston University,2024,2023,115458,65.8
00215510,Harvard University,2024,2023,,
00219900,Northeastern University,2024,2023,,
00221007,University of Massachusetts Dartmouth,2024,2023,125405,77.2
00221810,Suffolk University,2024,2023,102044,72.2
00222600,Western New England University,2024,2023,90507,68.9
00225400,Michigan State University,2024,2023,85552,69.6
00232300,University of Detroit Mercy,2024,2023,,
00232503,University of Michigan,2024,2023,,
00232902,Wayne State University,2024,2023,61718,61
00234500,University of St. Thomas (Minnesota),2024,2023,86285,68.5
00239101,Mitchell Hamline School of Law,2024,2023,,
00241501,Mississippi College,2024,2023,48096,78.8
00244000,University of Mississippi,2024,2023,77208,64.4
00250609,Saint Louis University,2024,2023,108204,74.6
00251600,University of Missouri,2024,2023,66497,67
00251800,University of Missouri-Kansas City,2024,2023,92513,77.2
00252000,Washington University,2024,2023,97518,64.9
00253600,University of Montana,2024,2023,91278,72.4
00254200,Creighton University,2024,2023,,
00256500,University of Nebraska,2024,2023,,
00256900,University of Nevada - Las Vegas,2024,2023,96964,86.9
00258903,University of New Hampshire,2024,2023,,
00262900,Rutgers University,2024,2023,,
00263201,Seton Hall University,2024,2023,127255,65.1
00266300,University of New Mexico,2024,2023,87191,71.6
00267700,Brooklyn Law School,2024,2023,,
00270711,Columbia University,2024,2023,,
00271101,Cornell University,2024,2023,,
00272203,Fordham University,2024,2023,,
00273200,Hofstra University,2024,2023,138596,68.7
00278300,New York Law School,2024,2023,,
00278500,New York University,2024,2023,,
00279102,Pace University,2024,2023,77542,74.6
00282300,"St. John's University",2024,2023,,
00283700,University of Buffalo-SUNY,2024,2023,77692,72.6
00288200,Syracuse University,2024,2023,,
00288600,Albany Law School of Union University,2024,2023,85408,72.1
00290301,Cardozo School of Law,2024,2023,,
00291300,Campbell University,2024,2023,,
00292002,Duke University,2024,2023,,
00292701,Elon University,2024,2023,113514,83.6
00295000,North Carolina Central University,2024,2023,,
00297400,University of North Carolina,2024,2023,87339,68.1
00297805,Wake Forest University,2024,2023,,
00300500,University of North Dakota,2024,2023,82059,75.4
00302302,Capital University,2024,2023,,
00302400,Case Western Reserve University,2024,2023,106305,66.4
00303200,Cleveland State University,2024,2023,76103,83.2
00308900,Ohio Northern University,2024,2023,,
00309000,The Ohio State University,2024,2023,80962,67.6
00312300,University of Akron,2024,2023,42977,69.7
00312500,University of Cincinnati,2024,2023,65141,65.9
00312700,University of Dayton,2024,2023,79204,77.2
00313100,University of Toledo,2024,2023,74469,62
00316614,Oklahoma City University,2024,2023,137941,80.6
00318400,University of Oklahoma,2024,2023,84224,70.2
00318500,University of Tulsa,2024,2023,62118,71.7
00319700,Lewis and Clark College,2024,2023,,
00322300,University of Oregon,2024,2023,80786,78.4
00322700,Willamette University,2024,2023,,
00325600,Drexel University,2024,2023,110203,70.2
00325800,Duquesne University,2024,2023,88762,73.9
00331301,Widener University-Delaware,2024,2023,,78.7
00331302,Widener Commonwealth,2024,2023,,80
00332900,Pennsylvania State University-Penn State Law,2024,2023,,
