schoolid,schoolname,CalendarYear,TotalJDDeg,HispanicJDDeg,AmIndianJDDeg,AsianJDDeg,BlackJDDeg,NatHawJDDeg,TwoorMoreJDDeg,MinorityJDDeg,WhiteJDDeg,NonresalienJDDeg,UnknownJDDeg
00376800,Washington and Lee University,2023,108,6,0,5,6,0,3,20,80,1,7
00377800,Gonzaga University,2023,133,21,1,2,1,0,11,36,95,0,2
00379001,Seattle University,2023,200,17,4,24,6,1,23,75,114,2,9
00379800,University of Washington,2023,164,14,2,26,8,3,9,62,89,3,10
00382700,West Virginia University,2023,103,0,0,0,3,0,5,8,94,1,0
00386300,Marquette University,2023,186,19,0,7,10,1,2,39,146,0,1
00389500,University of Wisconsin,2023,228,20,2,6,7,0,13,48,166,8,6
00393200,University of Wyoming,2023,67,5,0,0,0,0,0,5,59,0,3
00393600,Pontifical Catholic University of P.R.,2023,79,79,0,0,0,0,0,79,0,0,0
00394200,University of Puerto Rico,2023,135,0,0,0,0,0,0,0,0,0,135
00394700,"UC College of the Law, San Francisco",2023,341,60,0,93,11,4,0,168,151,6,16
00396900,University of Minnesota,2023,205,24,2,11,8,0,8,53,140,8,4
00425090,Inter American University of Puerto Rico,2023,150,147,0,0,1,0,1,149,0,0,1
00497700,South Texas College of Law,2023,302,79,1,19,27,1,10,137,161,1,3
00891600,New England Law | Boston,2023,318,30,0,19,27,0,3,79,221,0,18
00927500,Northern Kentucky University,2023,107,2,1,3,4,0,0,10,95,0,2
00963500,Florida International University,2023,152,91,0,1,9,0,3,104,40,4,4
01014205,Touro University,2023,160,31,0,21,11,0,8,71,83,0,6
01014913,Pepperdine University,2023,159,21,0,19,3,0,5,48,97,3,11
01039501,University of San Diego,2023,224,30,0,18,4,0,13,65,143,3,13
01164901,Loyola Marymount University-Los Angeles,2023,316,79,2,39,9,0,15,144,162,7,3
01193400,Vermont Law School,2023,113,11,0,5,8,0,0,24,78,2,9
01262700,Thomas M. Cooley Law School,2023,161,6,1,4,23,0,20,54,94,6,7
01310300,California Western School of Law,2023,179,40,1,15,4,2,17,79,93,2,5
02053000,Liberty University,2023,91,13,0,3,6,0,4,26,61,1,3
02179937,Western State College of Law,2023,54,15,1,4,2,0,3,25,27,2,0
03091300,Regent University,2023,93,8,1,3,5,0,1,18,73,1,1
03173300,"Atlanta's John Marshall Law School",2023,86,11,2,4,32,0,0,49,30,1,6
03191300,City University of New York,2023,206,50,0,28,22,0,8,108,92,6,0
03559300,Appalachian School of Law,2023,54,4,0,1,3,0,0,8,40,2,4
03691400,Ave Maria School of Law,2023,100,18,0,1,3,0,0,22,72,2,4
04096300,Charleston School of Law,2023,168,11,1,1,5,0,5,23,139,1,5
04242101,UNT Dallas College Of Law,2023,94,16,1,4,14,0,14,49,43,0,2
